番名,标签,总播放,追番人数,弹幕总数,开播时间,话数,声优,简介
竖笛与双肩书包,日常+治愈+萌系,10.1万,1.9万,3322,2012年1月开播,已完结， 全13话,置鮎龍太郎、釘宮理恵、平野綾、櫻井孝宏、民安ともえ、内田彩、森田真由,就读小学5年级11岁的小男孩宫川 あつし，不知为何却已是一个长得大人的模样，且身高达到180cm！这幅模样为他的日常生活带来了各种各样的麻烦事。与此同时，他还有一个17岁的姐姐，宫川 あつみ，目前是高中2年级。但是这个可怕的家庭才给了她137cm的身高，而且拥有萝莉的体形！虽然是这样，但是姐姐还是尽自己的能力照顾着弟弟。
黑魔女学园,日常+奇幻+魔法,58.3万,1.9万,1.6万,2012年4月开播,已完结， 全60话,折笠富美子、朴璐美、山本麻里安、松冈由贵、水野真理子、生天目仁美、小松里歌,　　故事的主人公是觉得“朋友什么的很麻烦”的小学5年级少女黑鸟千代子，某天聚集在千子家的三名少女，紫菀惠、一路舞、春野百合为了知道美少年三条翔到底最喜欢谁而拜托喜欢神秘学的千子占卜，但是千子得了花粉症而把咒文里的丘比特念错了，结果召唤的是喜欢讲大叔笑话的黑魔女秋比特。而秋比特就这么成了千子的老师，然后开始了一段漫长而又搞笑的故事。原作 - 石崎洋司监督 - やすみ哲夫制作公司 - Shin-Ei Animation
魂链,科幻,9.4万,1.9万,1618,2006年4月开播,已完结， 全12话,,"时代是在公历2045年秋天。载着6名军官候补生的太空站「白羊座号」，被突如其来的激进派组织·哈拉拉克斯压制。……身在宇宙空间，这种脱离着地球的无路可逃的窘境。然而军官候补生们即使身在这样的绝境之中，依然没有放弃希望，努力寻找夺回白羊座号的方法。之后，他们将会离这起事件惊人的幕后真相越来越近……"
帝都物语,奇幻+猎奇,14.3万,1.9万,4186,1991年9月开播,已完结， 全4话,加藤保宪、辰宫洋一郎、辰宫由佳里、辰宫雪子,原作荒俣宏，阴阳术大战。融入真实历史事件和城市特征带来强烈代入感，帝都魔都的叫法也被天朝人民发扬光大。CLAMP的《X》，直接用了天龙地龙的概念，SEGA经典游戏SAKURA大战，几乎就是向《帝都物语》致敬之作。本作更是塑造了经典反派加藤保宪，石马戒严和街霸中的维嘉的形象均受其影响。
宫河家的空腹,泡面+日常+治愈+萌系+美食,52.1万,1.9万,1万,2013年4月开播,已完结， 全10话,川崎琴、島形麻衣奈、岩崎可苗、曽和まどか、福原香織、平野綾、加藤英美里、関智一、今野宏美,"宫河家空腹全集动画改编自美水镜创作的《幸运星》外传漫画,讲述的是OTAKU,花钱大手大脚的姐姐宫河日向,姐妹相互扶持（？）下过着贫穷的生活...《宫河家的空腹》是由日本漫画家美水镜作画的四格漫画。故事讲述的是姐姐宫河日向小学生宫河日影之间的“姐妹爱”故事。"
Falcom学园,泡面+日常,158.6万,1.9万,1.5万,2014年1月开播,已完结， 全13话,水桥香织、神田朱未、草尾毅、梶裕貴、興津和幸、進藤尚美、草尾毅、大河内雅子、库拉..,作品讲述了「英雄传说 空之轨迹」中的艾丝蒂尔、约修亚，同「伊苏」系列的主人公亚鲁特等人，因不明原因被召唤到了异世界“世外桃源”，在那里原本被设定为好人的角色成为了坏人，而本来就是怪人的家伙则会变得更加奇怪。各位英雄人物们为了从这个歪曲事理的世界返回原先的地方，便成立了“Falcom学园”。于是，打破常规的全明星无厘头的故事就此展开。「大家集合吧！Falcom学园」由鬼才漫画家新久保大辅创作，并连载于网络杂志「月刊Falcom Magazine」。
GJ部@,日常+搞笑+萌系+校园,15.5万,1.8万,1万,2014年5月开播,已完结， 全1话,上坂すみれ、天使真央,真央等人毕业后的春假，以及随后樱花绽放的季节。在差不多该开始新学期的时候，京夜又一次被塞入了袋子里。而当他从袋子里爬出来时，发现自己来到了一个同GJ部活动室一模一样的房间。但京夜从窗户看到的景色，居然是纽约！
桥的那一边,奇幻+猎奇,4.5万,1.8万,486,2012年9月开播,已完结， 全1话,尾崎文,本部以战争为背景题材的剧情动画短片，围绕女主人公青柳音羽展开，讲述了一段游走在战火纷飞的残酷现实与儿时回忆中的诡异事件之间的故事。青柳音羽是一名记者，作为战地记者参与到一次贫民暴乱的镇压行动中，却意外地和宪兵队卷入战斗中。青柳音羽发现此处就是儿时和朋友一起冒险过的地方，朋友穿过这座桥之后，就神秘失踪了。此时的青柳音羽，恍然间看见了朋友被人贩子领走的画面。而更恐怖的是，巨型机器人正在向她发起攻击，失踪的孩子们也都成了凶狠残忍的帮凶……一声枪响惊醒了昏迷的青柳音羽，幸好只是个梦。 　　战争结束后，宪兵在肉团子铺看见了神情恍惚的青柳音羽，她说她要再过桥去寻找一下消失的孩子们。话音未落，正在吃肉团的宪兵队长就在肉团中发现了惊人的东西……
ZEGAPAIN,热血+科幻+机战,11.6万,1.8万,4373,2006年4月开播,已完结， 全27话,浅沼晋太郎、花澤香菜、川澄綾子、ゆかな、加藤将之、立木文彦、門脇舞以、久川綾、家中宏,未来世界，人类被未知病毒“毒蛇”所毁灭，没有被“毒蛇”杀死的人被转换成了量子数据，并把所有数据资料转移到了分散于世界各地的量子服务器，生活在量子计算机中的虚拟世界。真实世界被“世界蛇”所控制，并不断建造实验场破坏地球。部分能够发现自己是生活在虚拟世界中的人们被称为“引导者”，他们的目标就是将所有数据化的人类重新还原到现实世界。成为引导者后，会被传送到“海神号”，成为“枪手”或“术士”，与“世界蛇”对抗。主角京是个快活的游泳少年，他在千叶舞县近郊的高中上学，是个忙碌于恋爱和友情的普通高中生。但是有一天在神秘的转学生紫雫乃的引导下，被卷入了异世界的巨大机器人的战斗中。于反复战斗中怀抱着各种疑问，并为之苦恼的京，为了保护自己与同伴而挺身投入战斗之中……
魔法小恶魔！,日常+治愈+萌系,107.1万,1.8万,1.3万,2011年10月开播,已完结， 全75话,,主角是一名幼年失去双亲并被亲戚收养的爱哭鬼女孩泽田帆乃香，有一日，一个恶魔男孩真央突然出现，因此她就成为了这个恶魔的妈妈。在这部作品中，真央并不是唯一的恶魔，在他上的幼儿园里，就有花凛、莱等数名恶魔存在，他们会穿上各种奇怪的衣服，有时还会施展魔法，是一群很欢乐的恶魔。
弹珠警察,热血+萌系,17.7万,1.8万,3634,1999年2月开播,已完结， 全50话,桑岛法子、佐久间玲、小樱悦子、真殿光昭、关俊彦,白宝和蓝宝是弹珠警察的新警员。在一次宇宙巡逻中从宇宙海盗邪王比达手下救下了波他乐园星公主·红宝。红宝告诉白宝他们，邪王比达要用她国家的国宝水晶钻来征服全宇宙。而正因为这个，12颗水晶钻四散宇宙各个时空中。白宝和蓝宝决定帮助她，寻找12颗水晶钻及红宝的父王，消灭邪王比达。
极乐院女子高寮物语,百合+日常+搞笑+校园,41.4万,1.8万,9399,2012年1月开播,已完结， 全13话,竹達彩奈、日笠陽子、高森奈津美、内田真礼、國分優香里、ささきのぞみ、明坂聡美、能登麻美子,本作的舞台设定在男性的禁地——极乐院女子高等学院的女生宿舍内。对所有从没有进入过女生宿舍的男生来说，他们可能会幻想那里是类似于天堂、乐园的地方，但在这个故事里却完全是两码事。在这里毫无纪律可言，大家想做什么就做什么，刚从美国洛杉矶转学回来的女主角栗桥南，刚住进这个没人管理的女生宿舍，却企图成为这里的女王，而她的秘密武器就是自己的可爱！大家没有看错，南就是打算利用可爱这一特点去降服其他女生，但她本身并没有什么特别的魔力，只是一个200%的大笨蛋！除了栗桥南外，这里还有各种妄想娘、暴走娘、迷路娘以及混乱娘，当然还有各种工口与百合关系。总之，在「极乐院女子高寮物语」里，可以期待一下欢乐而又混乱的女子高中青春物语如何展开吧！
海月姬,日常+治愈+搞笑+伪娘,28.9万,1.8万,2.2万,2010年10月开播,已完结， 全11话,花澤香菜、斎賀みつき、諏訪部順一、斉藤貴美子、岡村明美、くまいもとこ、能登麻美子、子安武人、千葉繁,主角仓下月海是一名梦想成为插画家、并且非常喜欢水母的家里蹲。她为了梦想而来到东京，后入住了女生公寓“天水馆”。这里的住客大多是宅/腐女兼尼特族，对她们来讲拥有时尚感的现充全是敌人。一天，为了救水母，月海遇到了一名超美的伪娘。发生在尼特族、伪娘之间的个性故事就此展开！
神是中学生,日常+奇幻,12.6万,1.8万,1.5万,2005年6月开播,已完结， 全16话,森永理科、峯香織、MAKO、野中藍、宮崎一成、岡野浩介、斎藤千和、津村まこと、星野充昭,故事发生在一个日本海峡内的城市，故事的主人公是名为一桥友理惠的普通女初中生，在某一天奇迹般的变成了神仙。当她将这件事情告诉好友四条光惠的时候，四条理所当然的认为这是在开玩笑。可是这件事对作为来福神社长女的三枝祀来说可是非常吸引的。为了测试友理惠的能力三人来到了学校天台，因此遇到了被友理惠所暗恋的书法部唯一成员二宫健儿，随后祀察觉出了友理惠的心意，欺骗她说风大的时候在屋顶告白可以获得成功，单纯的友理惠却信以为真。百合绘念着“神中”这样的咒语抱着可以起风的愿望，可是丝毫没有效果。次日夜里新闻发布说本地有一股名为“友理惠”的台风将要来临，这时四条等人才相信百合绘真的成为了神仙，并协助她驱逐台风。在第一次尝试失败后，百合绘一行三人发现在学校天台露宿的二宫被台风卷入空中，这一幕激发了友理惠的潜能阻止了台风救下了二宫，并向他表白……
我家也有外星人,日常+搞笑+科幻,9.4万,1.8万,2766,2000年4月开播,已完结， 全13话,川澄綾子、宮村優子、福島潤,也不知是过去还是未来的年代，“外星移民”早成了平凡的存在。贫穷考生真由子寄居在“荏之花”澡堂的阁楼，一天到晚三餐不继却还得养活个吃白食的外星懒虫。于是万丈波涛滚滚而来。外星小孩妮娅最大的爱好就是收集垃圾，从中回收剩余物资再造飞船。头上没有像其他外星人样生着天线，被蔑称为“低等外星人”却从未在意，在自己的曲调早活得优哉游哉。真由子的认真清苦，真由子的胆小谨慎，在那外星小孩的心无城府面前，忽然变得意义不明。严肃刻板与大而化之的碰撞，带着轻捷的喜剧色彩，余音早又有些淡色水彩般的惆怅。
吹响吧！上低音号 第一季 SP 吹奏部的日常,少女+校园+社团,17.9万,1.8万,2150,2015年6月开播,已完结， 全7话,黑泽ともよ、朝井彩加、丰田萌绘、安济知佳、寿美菜子、早见沙织、茅原实里、石谷春贵、樱井孝宏,描写久美子与叶月等吹奏部员们温馨可爱、轻松搞笑的日常。
×××HOLiC·笼,致郁+奇幻,-,1.8万,-,2010年4月开播,已完结， 全1话,中井和哉、福山潤、日高里菜、こじまかずこ、望月久代、大原さやか,“我的愿望是，只要你在我身边就好……”侑子因停止的时间再次开始运转而消失了，四月一日为了与侑子再次相见，成为了店的主人。等待着侑子的四月一日却从百目鬼家的收藏中，得知了一本名为「茶吉尼天」的手札的存在……漫画17卷附OAD初回限定版。
.hack//世界的彼方,科幻+校园,11.4万,1.8万,1.3万,2012年1月开播,已完结， 全1话,樱庭奈奈美、田中圭、桧山修之、松坂桃李、増谷康纪,CC2制作的《.hack》3DCG电影近日公开了新的宣传视频，这段视频可以说是本次电影版的首段正式预告视频，电影的全称确认为《.hack 世界的彼方》，在2012年1月21日于日本首映。本作的故事背景设定在西元2024年，在这个世界中已经将网络全面普及化，人类已经可以完全透过网络来进行社交，相当于另外一个世界。故事中一名14岁的初中少女“有城空”在朋友的邀请下开始尝试网络游戏《THE WORLD》，然后因为游戏中的某个事件，影响到了现实与虚拟世界的链接，使两者之间产生了一些异变。
炎之蜃气楼～水际的反逆者～,基腐,24.5万,1.8万,5857,2004年7月开播,已完结， 全3话,関俊彦、速水奨、関智一、堀秀行、立木文彦、神谷浩史、堀内賢雄、矢島晶子,炎之蜃气楼动画改编自日本三大经典耽美小说之一《炎之蜃气楼》，作者是桑原水菜。OVA以第9卷「水畔的叛逆者(みなぎわの反逆者)」为素材。
对某飞行员的追忆,,7.5万,1.8万,4402,2011年10月开播,已完结， 全1话,神木隆之介、竹富聖花、卡尔洛王子、浪川大輔,"　　故事以一名出身最底层的少年佣兵飞行员与一位身为未来皇妃的少女而展开——从小被当作政治筹码来培养而封闭了心灵的少女法娜在小时候与一位名叫查尔斯的少年相遇,少年因为与少女那次邂逅而使得自己没有走上歪路.时光飞逝,少女成为了未来皇妃,而少年实现了自己的梦想成为了飞行员,然而在某一天,上司下达了任务让查尔斯去完成一个任务,而这个任务就是用水上侦察机搭载法娜从敌人中突破飞过中央海……一万两千公里的旅程、一段无法实现的恋情、一个感人的故事就此开幕……"
×××HOLiC·春梦记,致郁+奇幻,-,1.8万,-,2009年2月开播,已完结， 全2话,大原さやか、福山潤、中井和哉、伊藤静、望月久代、こじまかずこ、矢島晶子、武藤寿美、菊地美香,历经两次TV化之后，由CLAMP创作的《翼年代记》和《xxxHOLiC》双双发表了续集OVA动画的制作决定。《翼》的OVA定名为《翼·春雷记》，而《xxxHOLiC》则是相应的《xxxHOLiC·春梦记》。
精灵宝可梦XY&Z,热血+奇幻,41万,1.8万,2.7万,2015年10月开播,已完结， 全49话,梶裕貴、松本梨香、佐藤恵、牧口真幸、梶裕貴、かないみか、伊瀬茉莉也、大谷育江、うえだゆうじ,《精灵宝可梦XY》（ポケットモンスター XY）是精灵宝可梦系列动画的第五部，其蓝本是第六世代游戏《口袋妖怪XY》作品在日本东京电视台于2013年10月17日开始放送。是《精灵宝可梦：超级愿望》的续作。
爱杀宝贝 国语版,日常+搞笑+萌系,27.8万,1.8万,4087,2012年1月开播,已完结， 全13话,田村睦心、釘宮理恵、高部爱、赤﨑千夏、旁白,"表面上看来，索尼娅是一个扎着双马尾的金发美少女高中生，但实际上，她有着一个秘密的身份——杀手。作为一名杀手，索尼娅有着异常敏锐的神经，任何突然靠近她的生物，都会受到她的强力攻击。少女折部安奈自称是索尼娅的朋友，但似乎没有得到索尼娅的认可。因为其大大咧咧的天然呆个性，安奈经常成为索尼娅本能攻击的受害者。在无意间，安奈发现，虽然索尼娅是个令人闻风丧胆的杀手，但她在昆虫和妖怪方面却有着意外小的胆量，这也成为了拉近二人关系的重要契机。同时，索尼娅的杀手同事吴织亚切，毫无存在感的不知名少女也来到了安奈的身边，杀手和少女们热闹的日常生活展开了。《爱杀宝贝》是一部由日本漫画家カヅホ创作的四格漫画。 2008年1月首次刊登在芳文社的漫画月刊《Manga Time kirara Carat》上。同年7月正式连载，目前仍在连载中，单行本发行了3卷。英语的作品副标题为“Baby, please kill me.”。一击必杀笑技百出，小心接招！乍看之下只是名普通高中生的索妮娅，本业竟是杀手！而天不怕地不怕的天然呆少女安奈总爱缠着她！"
未确认进行式 OVA,搞笑+萌系,13.4万,1.8万,2407,2014年3月开播,已完结， 全1话,吉田有里、松井恵理子、照井春佳、羽多野渉、渡部優衣、佐倉綾音、角元明日香、藤田咲、愛美,Blu-ray＆DVD vol.1特典   故事讲述过着平凡生活的少女夜之森小红在其16岁生日时，遇到了自称是其婚约者的少女三峰白夜、以及白夜的妹妹三峰真白，并且要和他们二人开始一同生活。加上不但是妹控还是变态的小红的姐姐夜之红绪，是一部描写他们的奇妙同居生活的恋爱喜剧。
现视研2,少女+日常+搞笑,21.3万,1.8万,2.5万,2007年10月开播,已完结， 全12话,雪野五月、檜山修之、川澄綾子、水橋かおり、乃村健次、石田彰、大山鎬則、関智一、斎賀みつき,《现视研》是木尾士目在《月刊午安》上连载中的漫画作品，单行本一共9本，台湾中文版由东立出版社发行。是部描写御宅族大学生日常生活的作品。 “现代视觉文化研究会”，简称“现视研”，是一个以研究动漫等综合性现代视觉文化为成立宗旨，但行吃喝玩乐之实的社团。主角笹原完士在成为大学新鲜人后，跟同为一年级新生的重度御宅族高坂真琴一起加入了现视研。但在都是“御宅族”的社团活动中，高坂的青梅竹马春日部咲对其展开攻势；即使与其交往之后发现了高坂的“御宅族”真面目，仍不放弃将他拉回正道，因而成为社团的常客。漫画《现视研》，即是活生生的描写大学内动漫社团里的日常生活与人际关系的作品。坊间对于“御宅族”在外表、行为模式、与异性间的互动情形等面向上往往具有刻板印象；然而本作对此族群的描写呈现多样化，被部份动漫爱好者认为较为接近真实状况。
大正小小先生,基腐+游戏改,21.4万,1.8万,970,2017年10月开播,连载中， 每周五更新,内匠靖明、花田光、三浦祥朗、兴津和幸、日野聡、赤羽根健治、山田浩贵、坂熊孝彦,时期是大正末期。日本作为军事国家不得不与世界争斗，激烈的时代。主人公·柊京一郎升学到帝国大学，向帝都上京。决意提升学业、为了故乡成为一名出色的人物的京一郎却因为自身特别的力量引起了军部——大日本帝国军的注意。变得能看见死去的人类——死灵发生于京一郎患了大病的幼时。从那时起对于京一郎而言死灵一直是恐惧的对象，而军部却将其作为对抗外国威胁的力量加以利用。军部与意图阻止其计划的人们的对立，牵连了京一郎的命运，改变着帝国的未来——。
囝仔小短篇,萌系,14.7万,1.8万,1120,2014年7月开播,已完结， 全13话,小野大輔、原涼子、新井明彦、坂本一行,因缘际会下，来到日本最西端的岛上生活的年轻帅哥书法家·半田清舟。在开始不习惯的乡村生活的“老师”面前，出现了一名天真浪漫的岛上囝仔·奈留……？在都市长大的傲娇老师和胸襟异常宽阔的岛上居民交织而成的触动人心岛屿喜剧！
精灵宝可梦 超级愿望,热血+战斗+励志,24.1万,1.8万,2.1万,2010年9月开播,已完结， 全108话,悠木碧、宮野真守、松本梨香,生活着众多从未见过的新的口袋妖怪的新世界，踏上伊苏地区的旅行。熟悉的组合，小智和皮卡丘，如今两人又发生了微妙的变化，新的关键词是“速度感”和“新鲜感”。在伊苏地区旅行的小智，遇到新的口袋妖怪们及新的口袋妖怪训练师们。以从未有过的速度展开口袋妖怪训练师之间的对战，新加入的伙伴们陆续登场，还有从不认输的皮卡丘带来的新的变化，口袋妖怪的终极进化！你从未见过的口袋妖怪新世界的冒险即将展开！
魂兽,热血+奇幻+科幻,16.9万,1.8万,5189,2007年12月开播,已完结， 全12话,,主人公久坂悠是自小便被某种特殊力量附身的学生。对任何事都漠不关心的他，被周围的人看作是没有价值的人，总是用自己的“力量”乾一些无聊的事情。在这样的他的面前出现的名叫“夜明エイム”（夜明瑛梦）的迷之少女，将悠的生活完全改变。瞄准了悠的被称为“魂兽”的不明来由的生物，以及魂兽使的来袭；悠所潜藏的“魂兽使”真正能力的觉醒。
VENUS VERSUS VIRUS 除魔维纳斯,百合+热血+奇幻,6.4万,1.8万,2948,2007年1月开播,已完结， 全12话,高垣彩陽、茅原実里、小林由美子、望月久代、山崎和佳奈、陶山章央、森沢芙美、足立友、下屋則子,鹰花堇是个可以见到幽灵的少女，有一天晚上当她从校舍回到宿舍时，被一枚胸针刺中了手指，并突然被卷入了穿着哥德萝莉装的神秘少女——名桥露琪亚与“魔人”的战斗之中。少女给了她一张古董店“Venus Vangand”的传单， 当堇前去参观商店并说出她看到了“魔人”后，露琪亚要求堇帮助她驱逐这个世界所有的魔人。
勿忘蛛,少女+猎奇,12万,1.8万,2561,2012年3月开播,已完结， 全1话,土田大、下田麻美、金田朋子、星野充昭,边见瑞纪的爷爷拥有一家古书店并且将它出租给了学者砚周。一日，瑞记偶然打开了一本名叫《蜘蛛怪异闻》的古书，没想到，一只娇小可爱的蜘蛛娘从中掉了出来。蜘蛛娘告诉瑞纪自己曾被一个阴阳师所救抚养长大，后又被封印在书中，而砚周就是那位阴阳师的转世。砚周很同情蜘蛛娘的遭遇，收留了她。但一名古籍师告诉砚周，蜘蛛娘是非常危险的生物，只要接近她就会在不知不觉中被迷惑从而丧生。 不听劝告的砚周决定将蜘蛛娘送回到她的母亲所在的地方，那是一幢阴森的古宅，里面有一只巨大的蜘蛛正匍匐在黑暗中等待着它的猎物。
甜甜私房猫 第三季 中配版,日常+萌系,101.4万,1.8万,4584,2017年4月开播,已完结， 全48话,林美秀、四刀辉彰,中配版由北斗企鹅工作室配音。描述一只黑灰斑纹的小猫跟丢母亲又找不到回家的路，在筋疲力尽累瘫之际巧遇一个跌倒的小男孩，从此由男孩一家暂时照顾。因男孩家为禁止饲养宠物的公寓，一家人还得费尽心机不让邻居发现小猫的存在，只是偏偏一直找不到饲主又和小猫日久生情。在经历某些事情后，一家人终于搬到新公寓展开全新的生活。
花右京女仆队 第二季,后宫,19.4万,1.8万,3345,2004年4月开播,已完结， 全12话,甲斐田ゆき、田中理恵、有島モユ、平松晶子、高橋理恵子、渡辺明乃、早水リサ,"孤苦无依的花右京太郎，到东京附近的某座山上去投靠传说中的爷爷，当他爬上山顶还在想象过着神仙般清淡生活的爷爷家是如何的时候，眼前出现了一片辉煌的人工建筑，说是皇宫也毫不过分！然后，眼前尘土飞扬，再一片惊叫声中，花右京女侍队登场了！所谓的「女侍队」,是为了要服侍花右京家的主人而存在，可谓是无微不至。于是乎，他也就不得不“体贴”地接受女侍们的热情招待…"
薄樱鬼 第一章 京都乱舞,时泪+声控,15.8万,1.8万,1.2万,2013年8月开播,已完结， 全1话,津田健次郎、桑島法子、三木眞一郎、森久保祥太郎、鳥海浩輔,薄樱鬼即指土方岁三。此名为游戏土方线结尾土方与风间决战前风间所起。薄樱意为如樱花般绚烂而又转瞬即逝；鬼则指土方身为人类，却始终坚持贯彻自身信念，高洁之心令人钦佩，拥有能与鬼族平起平坐的强大实力与内心（风间是鬼族，一直对自己的鬼族身份感到骄傲，视罗刹为不伦不类的“伪物”）。其实新选组众成员又有哪个不是如此呢？
哆啦A梦 大雄的宇宙英雄记,奇幻+时泪,69.7万,1.7万,2.8万,2015年3月开播,已完结， 全1话,水田山葵、大原惠、嘉数由美、木村昴、关智一、三石琴乃、竹内都子、井上麻里奈,一部名为《Miracle银河防卫队》的超级英雄电视剧正在热播，小朋友们看得如痴如醉，大雄甚至在睡梦中都会模仿剧集中的人物。终于他再也不愿待在电视机前傻看了，而是希望能和朋友们一起扮演超级英雄玩耍。当他兴致勃勃地去找胖虎和静香时，却发现他们都不在家。原来朋友们都聚到了小夫家的院子里，财大气粗的骨川小夫玩起什么来都像模像样，他居然弄来了超级英雄的戏服，在自家安置好了摄影机和布景，和胖虎、静香他们拍起了自制的《银河防卫队》小影片[5]  。当小伙伴们沉浸在冒险和拍摄的快乐中时，完全没有注意到远处有一双眼睛一直在观察他们的举止。令人出乎意料的是，这个神秘之人正是一个货真价实的外星人。他名叫艾伦，是居住在遥远的波库鲁星上的保安官。他的星球遭到了伊卡洛斯率领的宇宙海盗团的入侵，危在旦夕。侥幸逃亡到地球的艾伦目睹了哆啦A梦和伙伴们施展“超能力”的惊人一幕，他决定借助这些地球人的力量打败可怕的邪恶势力。[6-8] 
百变之星,热血,5.2万,1.7万,3513,2003年4月开播,已完结， 全52话,水桥香织、大原 沙耶香、広橋涼、西村千奈美、藤原啓治、下野紘,苗木野空在小时候便憧憬卡莱多剧团华丽精彩的表演，立志要成为像蕾拉那样美丽著名的演员，为了参加卡莱多剧团的考试，从日本来到了美国西海岸。可是因为空迷了路，在向路边报摊打听问路时遇到一位奇怪的“ BT ”大叔对她动手动脚，捏她的腿。正要生气时，不料行李被抢，不得不去追小偷。在追到小偷和警察解释完毕后，空在考试会场还是迟到了，因为蕾拉的阻挠，空错过了试选。空正要伤心时，在“卡莱多剧团”后台监理 肯 的帮助下，得到参观后台的机会。其间空不小心弄伤了娇气的蹦床演员图兰布琳塔萨，之前的那位“BT”大叔出现了，原来他就是“卡莱多剧团”的老板卡洛斯。卡洛斯让空代替受伤的图兰布琳塔萨上台演出。
重力异想世界2 序章,,11.7万,1.7万,958,2016年12月开播,已完结， 全1话,,故事发生在一座被称为“黑奇萨威”的架空都市之中，在这座都市建筑林立，经过常年的发展，城市的各个区域特点分明，但同时和所有城市一样，在城市的一角有着一大片密集的贫民聚集地。于此同时，经常发生“重力飓风”，将城市推向了毁灭的边缘。
小加速世界,搞笑+萌系,40.6万,1.7万,6237,2012年7月开播,已完结， 全8话,三泽纱千香、梶裕贵、丰崎爱生、浅沼晋太郎、远藤绫,故事的背景设定于近未来，在这个时代中，透过名为“神经连结装置（Neural Linker）”的终端连线设备，人们已经可以使虚拟构建与完全数位量子化的世界与现实同步，上班族与学生们可以直接在眼中显示各类介面，并以手指凭空触空操作、收发资讯，甚至透过电缆直接与他人连线共享思绪。让生活的大小诸事都已完全无法与网路脱节。
变形金刚 领袖之证 美版第一季,热血+科幻,116.1万,1.7万,10.6万,2012年4月开播,已完结， 全52话,,"    剧情上，本作可以看做是2010年的游戏《塞伯坦之战》的后继。正义的汽车人和邪恶的霸天虎之间的大战持续了上百万年，他们的家园塞伯坦星球已经被破坏殆尽。随着霸天虎邪恶势力的扩张，地球成为双方争夺的焦点。为了保护地球不受邪恶的霸天虎的侵袭，正义的汽车人和人类联手，一次又一次挫败霸天虎的阴谋诡计。不幸的是，为了打败邪恶的宇宙大帝，擎天柱释放了领导模块的力量，并因此失去了记忆——他跟在威震天的身后，消失在陆桥深处… 《变形金刚 Prime》‧《变形金刚 领袖之证》（Transformers: Prime），是于2010年年末，在Hasbro与Discovery的合作频道The Hub上播出的三维立体动画既其关联产品线。第一季为26集，故事讲述两派来到地球三年后发生的故事。本作品是由Hasbro Studios负责企划，Digitalscape与Polygon Pictures两家日本动画工作室经手CG作业。        本作中变形金刚们隐藏于人类社会之中，如何去平衡一切关系是擎天柱作为领袖将要面临的考验，本作品的标题也由此而来。制作公司 - Polygon Pi.."
罗德岛战记,奇幻+时泪+神魔,5.2万,1.7万,2066,1990年6月开播,已完结， 全13话,冬馬由美、草尾毅、坂口芳貞、玉川砂記子,《罗德斯岛战记》是著名奇幻作家水野良的作品。魔神战争结束后三十年，马莫皇帝贝鲁特率领暗黑骑士和魔兽大军，迅速攻陷卡诺王国，向神圣王国瓦利斯进军，罗德斯岛烽烟再起。
玛德莱克丝,百合,13.2万,1.7万,1.4万,2004年4月开播,已完结， 全26话,小林沙苗、桑島法子、内川藍維、雪野五月、森川智之、久川綾、江原..,故事围绕着两位表面上看来没有共同点也互不了解对方存在的年轻女性展开。玛德拉丝是在陷入内战的卡萨索尼卡王国里一位对自己过去没有印象的传奇的雇佣兵和暗杀特务。另一位女主角是玛格丽特・巴顿，她是宁静的欧洲国家那芙列斯一个富裕贵族家庭的唯一继承人。在故事开篇的12年前，玛格丽特和她的母亲乘坐的飞机在卡萨索尼卡坠毁。那次事件之后，飞机上的乘客以及担任救援人员指挥工作的玛格丽特的父亲一直行踪不明。但是，玛格丽特独自一人回到了那芙列斯，可是已失去了记忆，她唯一能回想起的只有“玛德拉丝”这一个词，然而这条线索将两位少女联系在了一起。自从强大的犯罪集团安纺的神秘的幕后主使人显示出对她们两人的兴趣，她们开始对安纺展开独立的调查。“MADLAX”作为BEE TRAIN较早之前的作品“NOIR”的精神续作，与“魔女猎人”三者构成美少女枪战三部曲。MADLAX的制作开始于2002年，但直到黑田洋介加入这个项目才确立其最终形式。评论家们在指出MADLAX和NOIR之间的相似之处的同时也承认它们之间的不同点，比如后者的剧情更为紧凑。并且和以现实主义为主的NOIR相比，MADLAX添加超自然的因素。对于这些因素..
世嘉硬件女孩,泡面+搞笑+萌系,115.6万,1.7万,2.8万,2014年10月开播,已完结， 全13话,井上麻里奈、野田麻美、鹿野优以、金鱼和嘉菜、山冈百合、三上枝织、大..,电视动画《世嘉硬件女孩（セガ·ハード·ガールズ）》是由电子游戏公司世嘉推出的官方动画企画。《世嘉硬件女孩》原先只是做为电玩游戏《武士斗恶龙》中的特别企划而创造出来，以世嘉历代游戏机美少女拟人化后为主题，共计17位角色，当中声优包括井上麻里奈、上坂堇、相泽舞、三上枝织、M·A·O、高桥未奈美、井泽诗织、大空直美等。但在推出后受到玩家们的喜爱，而独立成为一个全新系列作品。
